Yorumlar,Duygu
Ev sahibi ile kiracı arasında 2 farklı sözleşme yapılıyor zaten. Bir tanesi resmi yapılıp maliyeye bildiriyor ev sahibi. Diğeri ise kendi aralarında. Değişen birşey olmaz bence. Ev sahipleri vergi kaçırmaya devam eder,2
"Bence emlakçıları komple kapattırsınlar, dert tasa kalmaz.",2
Bütün ev sahipleri zam yaptıktan sonra ,2
Geçen sene yapsaydi bunu herkes %25 e zorunlu girseydi. Gerçi bu kez de sözleşme yapmadan verirler kiraya vergiden de kaçar böylece,2
İlk defa faydalı bişey yaptılar,2
Olan kiracılara olur...Ev sahipleri vergi ödeyeceğinden kiralar artar...,2
Boş muhabbet bi yarari olmaz,1
Bunun işe yarayacağını düşünen yoktur sanırım.,1
"Yorumlara basınca millette her şeyi bi kabulleniş var , bizim sorun da bu zaten , biz böyle her şeye mal gibi tamam yada o öyle olmaz yeaa falan dediğimiz için burnumuz b.. tan çıkmıyor işte . Bazı şeylerin değişebileceğine bi inanın önce yaw , kendimi bildim bileli böyle , yönetenlerde durumun farkında zaten bu bugünkü hükümet için değil genel olarak söylüyorum, bulmuşlar harbiden kuzu gibi milleti vur abalıya ama duruma bakarsan bu kuzu millet de bu tavrıyla herşeyi hak ediyor zaten hatta az bile yapıyorlar ",1
"Kanunen şekil şartı olmayan bir işleme, şekil şartına zorlama olması mantıklı değil.",1
Boşa sevinmeyin kira 3 binden 10 bin olur e devlet sistemine 4 bin diye girilir kiracı kabul etmezse evi boşalt derler,1
Yazıklar olsun bu durumu böyle fırsat verenlere insan değil basta insan olan vicdanı olan yapmaz zaten bende kirazıyım 6 ayda bir gelir zam yapar nasıl bir kişiliktir 900 başlayan kira 2 senede 3500 tl cikti hicbir gün kira gecikmez akşama olmaz ayrıca bankaya yatırma işlemi isteme elden gelir alır bankaya vergi ödememek için defalarca ısrar etmemize rağmen iban num.vermez kül hakkı var elbette elbet birgün cikar,1
Komisyoncu emlakçılar yüzünden 1500 2500 arası değişken olan kiralar iki katına piyasada bu emlak sektörünü emlakçılar mahvetti komisyon olayı kalkmalı devlet kendi emlak ofislerini açmalı,2
kira zammı is geliyor,2
Artık kiraya zor verır mal sahıplerı zira tahlıye taahhütnamesi almak imkansızlasır bu sekılde. Dolayısıyla tahlıye ve kıra artısı imkansızlasırsa evını baskasına kullandırmanın alemı kalmaz. Bu durumda yatırımlık mülk alımları azalır. Mulklerın fıyatları duser. Kıralamalar da azaldıgından kira fıyatları daha da artar.,2
Devlet her şekilde kiracının yanında adam kirasını ödemez ona karşı bi yaptırım uygulamaz ama iş ev sahibine gelince her türlü uygulamayı yürürlüğe sokar kiracılar evleri gavur malı gibi kullansın ev fiyatları %500 artsın ama kiralar %25 artsın 2milyonluk evde önceden 3 bine otıruyor diye 750₺ zam yapabileyim :d,2
Geç kalınmış bir uygulama. Çoğu ev sahibi vergi kaçırıyordu iyi oldu kaçırsın şimdi de ,2
Hükümet yine para alacağı bir yer buldu. Anlaşılan kasalar tam takır yine vatandaşın cebi devrede...,2
Vergi alınacak diye yorumladım,2
"Çok iyi olur ödenmeyen kiralar içinde hızlıca işlem yapma durumuda olsa harika olur, genel olarakta ev sahibi kiracı ve emlakçı mağduriyeti ortadan kalkar.",2
Zaten şu emlakcılara yol verin gitsin ev arazi tarla hertürlğ satılır,2
İnşallah ama ne gibi şeylerde faydası olacak?,2
Şimdi burada masal anlatan çok olmuş ama güzel bir uygulama fakat sadece e-devlet sözleşmesi diyip bırakmayacaksın. En basit örnek su ve elektrik sayıcı desek ev sahipleri bunları da üstünden aldırmaz. Cep telefonu fatura adresi ya da ev internet fatura adresinden takibini yapacak devlet sonra e-devlet kira sözleşmesi ile karşılaştıracak sözleşme yoksa 1 rayiç kira bedeli kiracıya 12 ay kira rayiç bedeli ev sahibine cezayı yapıştıracak bakalım cesaret edebiliyor mu kimse??? Yeter ki bu kontrolleri hakkıyla ve ayrım yapmadan yapsın. Fakat ülkede hiç bir iş doğru yapılmıyor ki bu yapılsın,2
Bizim komşuya baybay o zaman,2
Vergi alınacak bu seferde ev sahıbı bunu kiracıya ödetir,2
"Simdi mi akliniza geldi , ,zaten millet yapti yapacagi zamı",2
Hadi inşallah,3
İşte şimdi s... Tuttunuz,1
kaç yıldır neredeydiniz,2
Bizim ev sahibi ağlıyor,1
Hadi inşallah şu emlakçılardan kurtulalım,3
Heh devlete yeni bi kaynak buldular tebrik ederiz,3
Ev sahibi kirayı düşükten gösterelim 5500 verceğine 5000 ver diyor kiracıda kabul ediyor. Sonra zam yaparkende ağzını açamıyor kiracı,3
Kiralar DÜŞECEK Mİ ?,2
Ev sahipleri: çokta yar.....mda,1
Emlakçılar ağlamaya başladı mı,2
Oh mis,3
Çoğu kişi sanıyor saray kiracıları düşünüyor hayır daha iyi vergi alabilmek için,2
Harika düşünülmüş Kaşke zamanında yapsalardı,3
Cok cok bılıncsız ve bılgısız dusunulmus bır uygulama,1
@yilmazemlakedirne bundan sonra düzgün yaparsınız işinizi,3
Kaynak?,2
İşte bu süper oldu,3
Yabancı doldurmasaydiniz bugün aglamzdiniz burda,2
Alım-satım komisyon bedellerinin gelir vergisi nasıl olacak,2
"Emlakçılar oyundışı, emlakçılar odası toplanır yarın ibb ye ",2
"Önüne gelen emlakçı olmuş o kadar cahil iş bilmez insanlar var ki ..,",1
Herşey milletin yararına mağdur dan yana olsun,3
Yeni yapılacak olan sözleşmeler için mi geçerli bu? Şimdi kardeşim sözleşme yeniliyoruz ayağına depozito emlakçı payı vs bişey istemesin,3
"Yapan birsekilde kılıfına uydurur iş yeri kiramizin yarısını elden veriyoruz, yarısını da bankaya yatırıyoruz 1500 lirada kira artışı yaptı.",3
haketmedin abim,2
Benim için dünyanın en iyisi,3
Bana üç beş dakika müsade edin çocuklar ,3
Ben senden Razıyım Ronaldo ,3
Kainatın gelmiş geçmiş en iyi futbolcusu CR7,3
Farkedermi reis tarihin en iyisi sensin,3
Kainatın gelmiş geçmiş en büyük futbolcusu 'LEO MESSİ' dir bunu hiçbir zaman unutmayın,3
Belki başka dünyalarda başka Ronaldolar kazandı o maçı,3
Portekiz  Ronaldo ya değer vermedi bu kadar etmekten sonra yedek kaldı,3
Sıkma canın Ronald’ı seni seviyoruz Fas haketti,3
Sözün bittiği yer…Kıymetin bilinmedi be Ronaldo…Altının değeri asla düşmez çamurun içinde bile olsa kirlide olsa altın altındır,3
Zirveye çıkmış bir futbolcu....,3
"Boşver be Ronaldo, vallahi benim de kurduğum nice hayal sona erdi. Allah imtihan etmesin, gerisi kolay :) Kavuşmak nasib olmasa türkülerde buluşuruz 😂",3
Adamı yedek bıraka bıraka bitirdiler,1
Sen elimden geleni yaptın seni yedek bırakanlar utansın... Öz goatım,3
Bir ronaldocu olarak sadece Messinin kazanmasını istiyorum. Messi kazanırsa tüm ronaldocular sevinir.,3
42 yaşindada gelirsin sen dunya kupasina Cr7.  Ruh ayni ruh degilmi olm . 25 veya 42 farketmez,3
Sen kalk futbol tarihine 10 yıl boyunca hüküm sürmüş kırılmicak rekorlari kırmış bir oyuncuyu yedek birak sonra yenmeyi bekle Portekiz kendi ayağına sıktı başka bir şey değil arjantinde 1 maç oynamasın messiyi bak nasıl kaybediyor.,3
Ronaldocular bu dünya kupasında Messinin kazanmasını isteyecektir. Ronaldo olamadı bari Messi olsun.,3
Dünden sonra portekiz kimsenin s2nde olmucak abim sıkma canını,3
Problem değil patron….,2
Bir gün o kupayı portekizle başka bir konumda alman dileği ile ,3
GOAT her zaman GOAT dır,3
United taraftarlari artik hicbir zaman Viva Ronaldo diye bagirmicakk ,3
Bir hayalinde yıkılsın a.k dünya yi top etmiş tekmeliyorsun gözü güneşimi dikti,3
Ee her istediğin olmuyor,3
2026 da 41 yaşında yedek kulübesinde takım öndeyken girersin bro,3
Ah be abi,2
50 dakika oyunda durdu bir kere topa vurdu kabullenin artık adam bitmiş,1
İyi oldu tebrikler Fas 🇲🇦,3
41 yaş ronaldo dunya kupa şampiyon olacak,3
"Abi bırakın şu bos işleri, Messi kazansa ne olacak Ronaldo kazansa ne olacak ti, size giren çıkan ney de aptal gibi hareket ediyorsunuz, asıl Fas yada Hırvatistan hazanirsa sana bana umut olacak ilerleten turnuvalar için, banane messiden Ronaldo dan",1
Belki teknik direktör olarak kazanır kim bilir....,3
"Üzülme, seni seviyoruz kardeşim.",3
Ah be Ronaldo ,2
Ahhhh lan,2
Artık bol bol Ramos u oynatabilirsin amk fernando santos u,1
Elması çamura batırıp çıkarsan yine elmastır @cristiano ,3
Onun teknik olarak sahada gelistirebilecek bir zekası var fakat Twitter kullanım tarzı ve sayfaların yönetimi siniflandirilmakla başlarsa büyük bir global gazete veri paylaşımı görebiliriz bu sayede Elon harikalar diyarının prensi olur.,3
Kendi malı kendi bilir,2
evet basanlarin hesaplar kapatildi kesin,3
Olum herkes nefret ediyorda ne yapti olum ben hayla twitterdan memunum,3
Evet diyenlerin hesapları şu anda kapanmış olabilir ,2
Ne gülerim kapatsa evet diyenleri,3
Evet,3
Aday olim mi: evet,3
Bu sefer düşmicem abi hayıra bastım.,3
Bence kendisinin bütün medya hesapları kapatılmalı,3
evet diyenlerin hesabını kapatsa,3
Evet oyu fazla yani bırakma devam et,3
hayır küreselcilere yenil düşme yiğidim,2
"Sonradan twiti değiştirip ""Hesabını kapatmak mı istiyorsun?"" yapsa ne epic olur",2
"İstifa olmaz , görevden affını istemeli :)",2
"İki al ver yapar, anketleri tersine çevirir",2
Hayır devam etmeli,2
Oylamaya katılan botları temizledikten sonra asıl oylama sonucu ne çıkardı acaba,3
Evet diyenlerin hesapları kapatsa nasıl olur,3
"Bırakmasın, Twitter'ın yok olması herkesin hayrına olur",3
evet diyen herkese ban.,3
ELON LAFINA BAKARAK İSTİFA EDECEK BİRİ DEĞİL,3
Evet diyenlerin hesabıda gitti hayırlı olsun,3
Evet e veren herkesin hesabini kapatsin,3
"Evet diyenlerin hesabını kapat elon abim, çünkü demokrasi bunu gerektirir biz yıllarca Türkiye'de böyle öğrendik",3
Nasılım?-evet -hayır,2
Tuzaklı soru evet fiyenler banlancak,2
%57.5 artık Twitter kullanmıcak,1
Hayır verenler kesin Musk’ ın çalışanları.,2
İstifa da bir hizmettir...,2
Parasıyla değil mi deyip devan ederse jsksjsksjsj,2
hayır daha kötüye sarar şu anda gayet iyi elonun aklında fikirleri var fakat insanlar ne yaptiğini anlamayıp sadece kötüye sürüklediğini algılıyor,2
Eski manitanın hesabı kapattığına göre istifa et reis ,2
şimdi onların hesabını kapat reis,2
Evet diyenlerin hepsinin hesaplarını siliyormuş birde ne gülerim,2
Evet diyenlerin hesabıni kapatsın hayır diyenlere onaylı hesap yapsin,2
Hayır diyenlere 0.0000001btc,2
%57 si hala fake hesap yani.,1
evet diyenlerin hesabı kapansa icon mk,2
Bence en doğru seçenek Twitter'ı komple kapatması olur da neyse...,1
Elon musk twitterın kurtarıcısı oldu o kadar sjw yanlısı taraflı bi yönetime sahipti ki evet diyenler ne düşünüyor merak ediyorum.,2
Bilmediği işe girmemeliydi,2
"Şu storydeki linklere bir bakın, çalışmıyo geneli",2
Evet diyenlerin hesabını kapatsa baya komik olur,3
Evet diyenler gg hayır diyenlere mavi tik,2
Bıraksın en az twitter kitlesi kadar cringe,2
"desenize Twitterda %57,5 kadar hesap kapatılacak",2
Evet veren herkesin Twitteri kapansa ne komik olurdu,2
"Elon Musk Twitter servislerinden 3 gün boyunca black mirror'un sosyal linç bölümünü yayınlasa, Twitter'e girmeye çalışan herkes bu bölümü izlemek zorunda kalsa sonra evet diyen herkesin hesabını kapatsa nasıl güzel olur.",3
elon: evet diyenleri banlasanıza,2
Evet diyenleri banlarsa ne komik olur ,3
Elon Musk; Twitterin %42.5 i benim kalmamı istiyor bu büyük bir oran onları kıramam,2
Evet diyenlerin hesabi kapatcak oz abim,2
Kafasına göre karar verip. Harcadığı paraları kitleden bi şeyler satıp kazanmaya çalışan. Her şeye ticari gözle bakan birinin sosyal Media platformunu yönetmesi zaten saçmalık. Çünkü yaptığı iş ve alanı ile alakası olmayan işe girişip batırmama ihtimalı yok. Çocuk gibi aklı ile komedyen oldu. Ciddiyetini yitiren adam Elon Musk ve onu sürekli yaylaşan @webtekno zaten Elon olmasa Webteknoya ekmek çıkmayacakmış,2
Bir rivayete göre evrendeki en hızlı hareket eden şey ışık değilde yorumlara dolan botlar dır,2
Sazan.avi yapmıs evete basanların hesaplarını askıya alacak,2
Sonuca uyacağını söylemişti bakalım ne yapacak,2
Tuzaklı soru olduğunu bilmeyen yoktur.,2
Kılıçdaroğlu aday olsun mu? -Evet -Hayır,2
Elon musk küresel ekonominin onedio'sudur.,2
Peki ya evet diyenlerin hesaplari silinmesi,2
Twitter ı kapatıp istifa etmesi,3
"Adam bu anketle bot hesapları fişledi. Feyk hesap kullananlar büyük ihtimalle bu ankete lap diye atladı. Yarın öteki gün bunu argüman olarak kullanirsa şaşmam. "" Ör: ankete yanıt veren hesapların %45 bot gibisinden """,2
doğru cevap hayırdı diyip tweet atması yok mu,2
Evet diyenler ampull anketi sanmış heralde,2
Sonra da EVET diyenlerin hepsini sonsuza kadar banladı.,2
"Demekki hala daha Twitter da WOKE botları çoğunlukta, reis devamke ",2
@webtekno  Bot dolmuş buralar son kale de düştü,2
Zaten kullanamıyorum hesabım kapatıldı. Beni çok alakadar eden bir durum değil.,2
Evet diyen herkes trol,2
Evet diyenlerin herkesin Twitter hesabı kapandı geçmiş olsun ,2
bu anket mantıklı bir şey değil,1
Basın özgürlüğü olmalı,2
Twitterı niye aldı ki zaten ,1
Manyak mısınız neden bıraksın? Twitter da b12 ve folik Asit eksikliği yüzünden akli melekeleri tam gelişmemiş -özellikle sol gerici ya da solperen ocakları ve sağ gericiler- zorbaların kökünü kazımadan gitmemeli,1
Pandanın  YouTube hesabını hacklemeden önce düşüncekti,1
Evet diyenlerin hepsi ban yiyecek :D,2
Ateşle oynuyorlar,1
Evet diyen herkesi banlar abim şimdi fkskcksmcdmfm,3
Hayır. Evet diyenler yöneticinin Rte olmasını istiyor galiba. Sonuna kadar Elon.,3
Devam etsin eylenceli negüzel banlıyor ,3
Umarim diger sirketleride boyle salak sacma anlik kararlar ile yonetmiyordur.,1
Hadi şimdi o lavaboya otur,2
Hintliler basmış botu belli,2
Evet diyenlerin hesabını askıya alacak kskdkjdndnd,2
Seri ban evet diyenlere,2
Türk ekonomisi suan istenilen seviyede degil,1
Ekonomi konusunda kimse bilmeden konusuyor ,1
Yine her seyi siyasete bagladılar,1
"Gayet iyi ilerliyor türkiye, suan açım diyenlerin uydurmalarına kanmamak lazım",3
Şükür etmesini bilmeyen insanlar var,1
Yetersiz olana yetersiz demek size ne kadar zor gelse de olanı söylemek zorundasınız!,1
"Alım gücü çok düşük, insanlar geçinemiyorlar.",1
Her şeye harika gözüyle bakanlar gerçekten yalan konuşuyordur.,3
İstanbul'da sabah saatlerinde yağan yağmurun ardından güneşin açmasıyla İstanbul Boğazında oluşan gökkuşağı masalsı görüntüler oluşturdu,3
"Kabataş'ta tramvay kazası meydana geldi. Yaralıların olduğu öğrenilirken, olay yerine çok sayıda sağlık ve itfaiye ekibi sevk edildi. Olay nedeniyle tramvay seferleri de durdu",1
istasyonunda raydan çıkan tramvayın direğe çarpması sonucu 4 kişi yaralandı.,1
Vatman ise ifadesi alınmak üzere polis merkezine götürüldü,1
"Tayland'ın güney eyaletlerinde etkili olan şiddetli fırtına ve yağışlar nedeniyle bin 361 köy sular altında kalırken, 3 kişi hayatını kaybetti",1
"Rusya Devlet Başkanı Vladimir Putin, Ukrayna'dan ilhak edilen Herson, Zaporijya, Donetsk ve Luhansk'taki güvenlik durumunun son derece zor olduğunu belirtti",1
Mehmet Büyükekşi: Süper Lig yeni web sitesi ligin ikinci yarısında hayata geçecek. Premier Lig’de olduğu gibi bütün kulüplerimize sağlayacağımız sponsorluk ile naklen yayın geliri dışında bir gelir hedefliyoruz.,3
Mehmet Büyükekşi TFF'nin yeni kararlarını açıkladı: Hakem hakkında her türlü açıklamaya ceza ,1
"Deplasman yasağı, EURO adaylığı, Göztepe-Altay maçı sonrası yeni kararlar ve altyapı...",1
Arjantin Milli Takımı formasına üçüncü yıldız ekleniyor,3
Galatasaray'da sürpriz ayrılık oldu üzer bu,1
Yerine gelecek isim belli oldu şimdiden,2
"Mehmet Büyükekşi: EURO 2028 ve EURO 2032’ye ev sahipliği yapmak için titizlikle hazırladığımız ön teklif dosyamızı UEFA’ya sunduk, şehirlerimizi de bildirdik. Umuyorum ve inanıyorum ki bu iki şampiyonadan birinin ev sahibi biz olacağız.",2
Mehmet Büyükekşi: Süper Lig sosyal medya hesabı Twitter üzerinden açıldı. Hesabın içerik ve takipçi sayısı ve oranını arttırmak için çalışmalar sürüyor.,2
Dünya Kupası boyunca Twitter'da en çok konuşulan futbolcular:,2
Son Heung-min iyi topçu hızlı bayası.,1
"Mehmet Büyükekşi: Saha ve VAR hakemlerini birbirinden ayırarak, VAR hakemliğinde uzmanlaşmaya gittik. Birçok ülkenin de uygulamaya hazırlandığı bu sistemde Dünya futboluna öncülük ettik.",3
"Mehmet Büyükekşi: Görevimizin ilk günlerinde acil çözüm bekleyen askıda olan harcama limitleri, yayın ihalesi, yabancı sayısı konularını çözüme kavuşturduk. Yeni harcama limitlerini ilan ettik ve harcama limitlerinde talimatları değiştirdik.",3
TFF Başkanı Mehmet Büyükekşi açıklamalarda bulunuyor.,2
"Şenol Güneş istedi, Beşiktaş harekete geçti o trasfer gerçekleşirse işlerine yarar.",1
Taksileri toplayın eksikliği hissedilmez bile.,1
Hepsini bağlayın zaten durmuyorlar  ellerinize sağlık,3
Ohhh bee iyi oldu yağmur altında taksi bekledim günler aklıma geldi hastane köşelerinde beklediğim günleri de unutmadım,3
Hepsini bağlayın elinize sağlık,3
"….yapma abi…. gözünü sevim….   Hem suclular hem güclüler…. Cekin cezanizi. Bir de arkadasini cagirmis.  Kim bilir, sizler gibi insanlara kac kisi yalvardi beni alin diye.",1
Polislerimizi  allah  korusun,3
Halen taksicilerle ugrasiyorsunuz ya insallah bir gun muhtac olursunuz taksiye,1
Nedir Bu taksicilerden çektiğimiz 'ya müşteri beğenmezler belediyede şikayetler 100 binleri buldu yazık ımam oğlu  geldi taksiciler bozuldu yazık yönetim yok,1
Show haber her zamanki gibi kendi bakış açısından haber videosunu istediği gibi kesip yayınlamış bir kısım gercekler saklanmış,1
zaten taksicilerin %99luk kısmı yerli yolcu almıyor toplasalarda eksikliği hissedilmez uber gelse bütün ülke rahatlar.... ama bu hükümeti ben bir türlü çözemedim hem durmadan denetim yaptırır hemde insanların beğendiği uberi kapatır hahahahha,1
Taksicilere daha çok denetim istiyoruz yüzde sekseni berbat,1
Gecen otogarda 45 dk bekledik hic biri almadi yok ben oranin yok buraya gidiyorum sanki otostop cekiyoruz arkadas paraysa para siz nasil firsatcidiniz boyle 50 kilo cuvali yarim saat eve tasidim az bile,1
vallahı bunların en ıyyısı yok hepsı aynı bahane gunda 50 kera aynısını yaparlar ama polıs durdurunceda yok suttan çıkmış kaşik gıbılar.ohh ıyı olmuş,1
Az bile bunlara,2
"Iş görüşmesi için çok İstanbul'a geldim, herzaman taksiye binmeye üşeniyorum. Çoğu çok karaktersiz.",1
Nefes aldırmayın bunlara.. bir yerleri kalktı..,1
Vallahi bilmiyorum saçma bir şey ama,1
bu goruntuleri gormek istiyoruz,3
Tek sonuç Uber istanbula,2
NAVİGASYONLA DAYII,2
Bence bu taksiciler tamamen yasaklanmalı,1
Süleyman'ın yarisi mi ? hadi oradan,1
Yıl bilmesen çalişma,2
İyi yapmiş,3
Beter olun beter ohh    ohh     beter olun beter,1
Allahım herkesımıze yardımçı ol,3
Allah bu vicdanlı adamları korusun dogrucular marketlerde ki vicdansız adilerin işi gücü rast gitmesin inşallah insanlarla dalga geçmeyin öbür taraf var,1
Yazıklar olsun market çalışanlarına mı kaldı artık ülkemizde denetim zabıta ekipleri yine yangelip yatmaya devam ediyor......,1
Ben zabıta ekipleri nin İstanbul otogarinda rüşvet alarak bazı uygunsuz fiyatları görmezden geldiğine bizzat şahit oldum ...,1
ALLAH CELLE CELALÜHÜ RAZI OLSUN SİZLERDEN,3
Bu haksızlığa birileri dur demeli artık market çalışanlarının hakları savunulmalidir,1
Allahım daha neler neler gorucez artık istediğimiz yemeği bile yiyemiyoruz,1
Rezil yönetim neden denetlenmiyor bu marketler,1
Helal olsun sizlere aslanlar onların haram parası size zaten yaramaz,3
Haksızlığa göz yumana bişe yok ama sesini çıkarana adaletsizlik yapın Allah görüyo,1
Daha neler neler beklicas bu benim sevdiğim ülkede arkadaşlar  Allah sonunuz hayırlı uğurlu etsin inşallah gardaşler,2
Marketlerde çok  bozuk ürün var hakikaten  dışarı  bırakılan  ürünler geri konuyor bilmeyen  anlamayan alıyor,1
"Bunlar olmuyor degil, oluyor ama zamanlamaya baktigimizda, neden hemen herseye inanalim, buda güzel bir soru mesela. Fahis fiyatlar yüzünden Marketlere baski yapiyoruz, güzel ama bunlara bunu yapmakta mecbur kilanlarin hatasi yokmu? Durmadan gelen zamlarda satis yapan kisi neden zarara girsin? Ne kadar denetim var? Denetliyenler görevlerini yapiyorlar mi? Her alanda Zam´i durmadan kamci gibi yapistiranlarin hatasi yok mu? Bunlarin hepsi güzel sorular, yaninda bunlarda sorulmali.",1
insanların sağlığı ucuz değilde ülkenin adaleti ucuz ,1
Vicdansızlar çokk büyük bir cezay hakkediyorlar işallah sesiniz duyarlar artık bıktık fırsat cılarda her girdim market kavga ediyor  gün günü tutmuyor etiketler,1
neden bunu yapan marketlerin ismi verilmiyor haberi yapılmıyor en büyük cezayı yıne halk verir o markete ....adamlar işden cıkarılmış market ismini versenıze halk alışverişi keserse bak bakayım o market ayakda durabılır mi,1
Benim böle dürüst çalışanım olsa taş taş larini boynuma dolarım helal olsun dayı size 1 iş kaybettiniz lakin bu haberi izleyenlerin gönlünü fet ettiniz,3
"Bu marketlerde mecbur kalinmasa zaten kimse çalışmaz, ama malesef mecbur insanimiz",1
"Ben Türkiyeye tatile geldigimde sürekli fiyatlari cekiyorum istedigim gibi, kimse bana müdahale edemez özellikle müsteri oldugum icin, yoksa dünyayi ayagi kaldiririm.",2
Keske daha onceden yetkili birimlere haberi ucursaydiniz daha iyi olurdu yaptiklarida yanina kalmazdi,1
Hangi marketinde olduğunu soyleseydiniz keşke. Ben de şok market te çalışıyorum. Çok dikkat ediyoruz gerek tarihi geçmiş ürünler için gerekse etiketler için,2
marketlerde cok olay dönüyor  bunlar hiçbir  daha neler var,2
Kardeşim kimse çalışmasın kendileri çalışsın yâda kapatırlar mağazayı,1
"Bende markette çalışıyorum,  İse girişte sözleşmeleri imzaladığın anda kabul ediyorsun . Cekmeyeceksin kardeşim, çekince ne oluyor ? Çektin de zammı geri mi aldılar tam aksine 10 lira daha koydular .",1
Ya kocum iyi yaptin ama sen durus davrandin bide yetkililer durus davransa  durus insanin bu turkiyede yeri yok beeee aksini inkar eden varsa bana yassin,3
Yazıklar olsun insan hayatı Bukadar mı ucuz  vala bir kedi Veya köpek kere işkence birşey Olunca bizim m millet ayaklanıyor Böyle olunca hiç ses çıkaran Olmuyor hele bu zamanda çok ayip,1
Bu türlü insanlar in dukkanlarini  kapatacak devlet,1
Markette et tavuk sıkıntı yawf indirim yapılan marketler tarihi geçmiş yada 1 gün kalasiya kendi etiketlerini geçiriyorlar,1
Allah için kaça tuttunuz bu garibanı :)  yalan haberde üstlerine yok. Onu bunu bırakında şu delimine ye ağırlık verin biraz. Nefret ediyorum ondan.,1
"5 yıl market sektöründe çalıştım,tam köle pazarı",1
Şeker hastası olunca iştenmi kovuyorlar başıma ona benzer bişey geldide şeker hastasıyım diye işe almamışlardı,1
iade gelen ürünler tekrardan satışa sunuluyor defalarca o ürün geri gelmeyinceye kadar aynı ürün ayıplı eksik yada bir parçası eksik olması önemli degil tekrardan rafa konuluyor hilelerinden biride bu,1
"Ben de çıkarıldım, müşteriler ve insanlar, işverenler garip garip talep istekleri var, istememeleri şikayet etmemeleri gereken şahsa karşı meseleler ben hukuk karşısında da ilahi adalette de her zaman haklıyım beni hiç bir kadın kendini savunup ya da insan yıkamaz. saçma sapan şikayet konularda şikayet edilip ya da isteklerle gelince insan çok sinirleniyor, sen yol alamıyorsun. O zaman kimse yol almasın zaten alamıyorsunuz da kendinizi kandiriyor sunuz",1
Buna dur diyelim artık biz vatandaş olarak hep beraber olursak buna son verdire biliriz herkes yazarsa sayın cumhur başkanımız duyar ve gerekenleri yapar hadi türkiye verelim el ele,3
O marketlerin adını yazın da bizde bilelim,2
yazsana kardeşim hangi market herkes ifşa etsin,2
A 1001 çalışanlarıda diyor bozuk ürüne yeni etiket yapıyorlar diye,2
Yaa hu esnaf fırsatçı. Hepsi tam bi Allahın cezaları tam.,1
Zammı yapanları değil fotoğrafını paylaşan a ismen yapılıyor,2
Zabita seyyar saticiyi kovalar böyle işletmecilerinde verdiği rüşvetlerle tezgahını dondurur,1
Marketten ne et alınır ne meyve ne sebze gidin etinizi Kasaptan alın peynirinizi peynirciden,1
izinsiz fotoğraf çekmek veya görüntü almak (önceden haber verilmesi gerekiyor) yasak diye biliyorum...,2
0:58 çok anlamlı bakışmışlar...,3
Içimizde yılan besledik,1
A101 bim şok şuan hepsinde bunlar oluyor,2
Bu Marketler bi dolaplar çeviriyor ya  Hadi hayırlısı,2
gün gelir hesap döner,2
Ben hep 50 liralık alıyorum bu büyülü sözü söylüyerek alışveriş yapın,2
Market ismi vermeyim geçen hafta yarım kilo Kaşar peyniri almıştım evde açtım tam menemen yapacaktım  canım çekti bir dilim tadına bakayım dedim  ağızima atmamla çıkarmam bir oldu leş  gibi kokuyordu bozulmuş  hemen geri götürdüm Allah korusun zehirilene bilirdim   market çalışanlardan bir bayan abi özür dilerim hakkını helal et dedi bende şikayetimden vazgeçtim,1
Bunları kutsayalim tabi efendim,3
Bizim ülke Müslümanin Müslümana geçirdiği bir yer,1
Vay hale bak,2
Nerdeee bu denetimcilerrrr,1
"Muhafezekar, Milliyetci ve Müslüman Türkiye kazık serbest",1
kan donduran iddialar ,1
Ee ne olacak şimdi,2
Daha beter olun. Bizim milletimiz bozuk kardeşim hiç kimseyi suçlamayın. Herkes yalancı olmuş,1
Benim en güvendiğim market bim migros ve Carrefour A 101 ve şoka girmem bile berbat herseyleri,1
"Ben işimi yapıp aldığım paraya bakarım kardeşim öyle her yere burnumu sokmam. Patron bana para versin o yeter fiyatmış, zammış bilmem ben. Kendimi kovdurmaya niyetim yok iş bulmak kolay değil",2
Tabi efendim,3
Aşaglıklar,1
Yassah evladım fotoğraf çekmen. Şirket sırlarını ifşa edemezsin. İşer girerken imzaladığın sayfa sayfa sözleşmenin içinde mutlaka geçer. Mesai saatleri içinde kafana göre fotoğraf çekip sosyal medyada paylaşamazsın. Marketleri savunuyorum ama hiçbir personel bunu yapamaz,1
Kendinilerini kahraman olarak satmak istiyorlar,2
Antalya güzel bir şehir. Birçok kez gitmişimdir.,3
"Antalya cidden çok güzel şehir, 12 yıldır Antalyada yaşıyor olmam",3
Ben Antalyalıyım gerçekten yaşadığım yere bayılıyorum hem doğa hem deniz hem tarih,3
İç pazar dış pazar efsanesi vardı ya her alışverişte kimlik sorulacak arkadaş Türke ayrı pazar kazancına göre yabancıya ayrı pazar kazancına göre olacak.,3
Abi otel günlük kaç? 60 euro ama size 1000 TL olur.,2
Antalya Balayı yapacak çiftlerimize gider !! Dikkatimi çekmiyor,2
neden euro abi şaka mısınız siz ya ?,1
Hayırdır Türkiye’nın para birimi euro olduda bizim mi haberimiz yok?,2
İyiki varsın özel insan ! Seninle dünya daha güzel.,3
